"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/07/2017","AQS","080010008","2","7.8","ug/m3 LC","43","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"05/13/2017","AQS","080010008","2","6.4","ug/m3 LC","36","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"05/19/2017","AQS","080010008","2","1.2","ug/m3 LC","7","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"05/25/2017","AQS","080010008","2","6.3","ug/m3 LC","35","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"06/06/2017","AQS","080010008","2","8.1","ug/m3 LC","45","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"06/12/2017","AQS","080010008","2","9.9","ug/m3 LC","52","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"06/18/2017","AQS","080010008","2","6.4","ug/m3 LC","36","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"06/24/2017","AQS","080010008","2","7.6","ug/m3 LC","42","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"06/30/2017","AQS","080010008","2","10.2","ug/m3 LC","53","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"07/06/2017","AQS","080010008","2","16.2","ug/m3 LC","64","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"07/12/2017","AQS","080010008","2","13.9","ug/m3 LC","60","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"07/18/2017","AQS","080010008","2","11","ug/m3 LC","55","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"07/24/2017","AQS","080010008","2","12.3","ug/m3 LC","57","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"07/30/2017","AQS","080010008","2","8.7","ug/m3 LC","48","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"08/05/2017","AQS","080010008","2","11.7","ug/m3 LC","56","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"08/11/2017","AQS","080010008","2","8.7","ug/m3 LC","48","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"08/17/2017","AQS","080010008","2","10.5","ug/m3 LC","54","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"08/23/2017","AQS","080010008","2","11.1","ug/m3 LC","55","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"08/29/2017","AQS","080010008","2","15.8","ug/m3 LC","63","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"09/04/2017","AQS","080010008","2","48","ug/m3 LC","132","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"09/10/2017","AQS","080010008","2","8.9","ug/m3 LC","49","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"12/03/2017","AQS","080010008","2","5.4","ug/m3 LC","30","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"12/15/2017","AQS","080010008","2","8.3","ug/m3 LC","46","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/01/2017","AQS","080010008","3","18.6","ug/m3 LC","69","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/02/2017","AQS","080010008","3","15.1","ug/m3 LC","62","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/03/2017","AQS","080010008","3","11.7","ug/m3 LC","56","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/04/2017","AQS","080010008","3","13.2","ug/m3 LC","59","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/05/2017","AQS","080010008","3","6.2","ug/m3 LC","34","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/06/2017","AQS","080010008","3","14.7","ug/m3 LC","61","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/07/2017","AQS","080010008","3","15.7","ug/m3 LC","63","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/08/2017","AQS","080010008","3","13.9","ug/m3 LC","60","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
