"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","080010006","1","24","ug/m3 SC","22","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/02/2015","AQS","080010006","1","19","ug/m3 SC","18","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/03/2015","AQS","080010006","1","17","ug/m3 SC","16","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/04/2015","AQS","080010006","1","22","ug/m3 SC","20","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/05/2015","AQS","080010006","1","23","ug/m3 SC","21","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/06/2015","AQS","080010006","1","21","ug/m3 SC","19","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/07/2015","AQS","080010006","1","11","ug/m3 SC","10","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/08/2015","AQS","080010006","1","16","ug/m3 SC","15","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/09/2015","AQS","080010006","1","16","ug/m3 SC","15","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
"01/10/2015","AQS","080010006","1","28","ug/m3 SC","26","Alsup Elementry School - Commerce City","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8260070009282","-104.937438"
