"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/18/2021","AQS","080010010","1","40","ug/m3 SC","37","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/19/2021","AQS","080010010","1","79","ug/m3 SC","63","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/20/2021","AQS","080010010","1","95","ug/m3 SC","71","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/21/2021","AQS","080010010","1","15","ug/m3 SC","14","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/22/2021","AQS","080010010","1","15","ug/m3 SC","14","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/23/2021","AQS","080010010","1","21","ug/m3 SC","19","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/24/2021","AQS","080010010","1","15","ug/m3 SC","14","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/25/2021","AQS","080010010","1","23","ug/m3 SC","21","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/26/2021","AQS","080010010","1","20","ug/m3 SC","19","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/27/2021","AQS","080010010","1","17","ug/m3 SC","16","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/28/2021","AQS","080010010","1","19","ug/m3 SC","18","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/29/2021","AQS","080010010","1","77","ug/m3 SC","62","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/30/2021","AQS","080010010","1","12","ug/m3 SC","11","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"03/31/2021","AQS","080010010","1","27","ug/m3 SC","25","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/01/2021","AQS","080010010","1","43","ug/m3 SC","40","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/02/2021","AQS","080010010","1","47","ug/m3 SC","44","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/03/2021","AQS","080010010","1","31","ug/m3 SC","29","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/04/2021","AQS","080010010","1","21","ug/m3 SC","19","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/05/2021","AQS","080010010","1","52","ug/m3 SC","48","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/06/2021","AQS","080010010","1","76","ug/m3 SC","61","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/07/2021","AQS","080010010","1","13","ug/m3 SC","12","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/08/2021","AQS","080010010","1","29","ug/m3 SC","27","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/09/2021","AQS","080010010","1","27","ug/m3 SC","25","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/10/2021","AQS","080010010","1","25","ug/m3 SC","23","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/11/2021","AQS","080010010","1","23","ug/m3 SC","21","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/12/2021","AQS","080010010","1","22","ug/m3 SC","20","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/13/2021","AQS","080010010","1","14","ug/m3 SC","13","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/14/2021","AQS","080010010","1","26","ug/m3 SC","24","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/15/2021","AQS","080010010","1","23","ug/m3 SC","21","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/16/2021","AQS","080010010","1","6","ug/m3 SC","6","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/17/2021","AQS","080010010","1","8","ug/m3 SC","7","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/18/2021","AQS","080010010","1","11","ug/m3 SC","10","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/19/2021","AQS","080010010","1","10","ug/m3 SC","9","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/20/2021","AQS","080010010","1","9","ug/m3 SC","8","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/21/2021","AQS","080010010","1","12","ug/m3 SC","11","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/22/2021","AQS","080010010","1","20","ug/m3 SC","19","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/23/2021","AQS","080010010","1","28","ug/m3 SC","26","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/24/2021","AQS","080010010","1","25","ug/m3 SC","23","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"04/25/2021","AQS","080010010","1","22","ug/m3 SC","20","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/18/2021","AQS","080010010","1","13","ug/m3 SC","12","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/19/2021","AQS","080010010","1","25","ug/m3 SC","23","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/20/2021","AQS","080010010","1","49","ug/m3 SC","45","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/21/2021","AQS","080010010","1","48","ug/m3 SC","44","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/22/2021","AQS","080010010","1","19","ug/m3 SC","18","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/23/2021","AQS","080010010","1","13","ug/m3 SC","12","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/27/2021","AQS","080010010","1","29","ug/m3 SC","27","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/28/2021","AQS","080010010","1","34","ug/m3 SC","31","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/29/2021","AQS","080010010","1","28","ug/m3 SC","26","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/30/2021","AQS","080010010","1","5","ug/m3 SC","5","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"05/31/2021","AQS","080010010","1","5","ug/m3 SC","5","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/01/2021","AQS","080010010","1","16","ug/m3 SC","15","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/02/2021","AQS","080010010","1","22","ug/m3 SC","20","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/03/2021","AQS","080010010","1","33","ug/m3 SC","31","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/04/2021","AQS","080010010","1","36","ug/m3 SC","33","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/05/2021","AQS","080010010","1","40","ug/m3 SC","37","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/06/2021","AQS","080010010","1","20","ug/m3 SC","19","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/10/2021","AQS","080010010","1","54","ug/m3 SC","50","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/11/2021","AQS","080010010","1","41","ug/m3 SC","38","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/12/2021","AQS","080010010","1","51","ug/m3 SC","47","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/13/2021","AQS","080010010","1","36","ug/m3 SC","33","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/14/2021","AQS","080010010","1","34","ug/m3 SC","31","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/15/2021","AQS","080010010","1","54","ug/m3 SC","50","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/16/2021","AQS","080010010","1","67","ug/m3 SC","57","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/17/2021","AQS","080010010","1","61","ug/m3 SC","54","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/18/2021","AQS","080010010","1","66","ug/m3 SC","56","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/19/2021","AQS","080010010","1","43","ug/m3 SC","40","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"06/20/2021","AQS","080010010","1","25","ug/m3 SC","23","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/02/2021","AQS","080010010","1","19","ug/m3 SC","18","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/03/2021","AQS","080010010","1","22","ug/m3 SC","20","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/04/2021","AQS","080010010","1","45","ug/m3 SC","42","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/16/2021","AQS","080010010","1","43","ug/m3 SC","40","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/17/2021","AQS","080010010","1","41","ug/m3 SC","38","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/18/2021","AQS","080010010","1","23","ug/m3 SC","21","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/19/2021","AQS","080010010","1","41","ug/m3 SC","38","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/20/2021","AQS","080010010","1","55","ug/m3 SC","51","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/21/2021","AQS","080010010","1","41","ug/m3 SC","38","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/22/2021","AQS","080010010","1","39","ug/m3 SC","36","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/23/2021","AQS","080010010","1","42","ug/m3 SC","39","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"07/24/2021","AQS","080010010","1","33","ug/m3 SC","31","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
