"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/04/2022","AQS","080010010","1","19","ug/m3 SC","18","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/05/2022","AQS","080010010","1","17","ug/m3 SC","16","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/08/2022","AQS","080010010","1","16","ug/m3 SC","15","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/09/2022","AQS","080010010","1","18","ug/m3 SC","17","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/10/2022","AQS","080010010","1","62","ug/m3 SC","54","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/11/2022","AQS","080010010","1","69","ug/m3 SC","58","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/12/2022","AQS","080010010","1","70","ug/m3 SC","58","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/13/2022","AQS","080010010","1","52","ug/m3 SC","48","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/14/2022","AQS","080010010","1","32","ug/m3 SC","30","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/15/2022","AQS","080010010","1","17","ug/m3 SC","16","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/16/2022","AQS","080010010","1","18","ug/m3 SC","17","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/17/2022","AQS","080010010","1","76","ug/m3 SC","61","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/18/2022","AQS","080010010","1","65","ug/m3 SC","56","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/19/2022","AQS","080010010","1","8","ug/m3 SC","7","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/20/2022","AQS","080010010","1","27","ug/m3 SC","25","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
"01/21/2022","AQS","080010010","1","24","ug/m3 SC","22","Birch Street","1","100.0000","81102","PM10 Total 0-10um STP","127","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8281","-104.93647"
