"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","080010008","1","39","ug/m3 SC","36","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/02/2017","AQS","080010008","1","29","ug/m3 SC","27","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/03/2017","AQS","080010008","1","20","ug/m3 SC","19","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/04/2017","AQS","080010008","1","18","ug/m3 SC","17","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/05/2017","AQS","080010008","1","11","ug/m3 SC","10","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/06/2017","AQS","080010008","1","27","ug/m3 SC","25","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/07/2017","AQS","080010008","1","31","ug/m3 SC","29","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/08/2017","AQS","080010008","1","27","ug/m3 SC","25","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/09/2017","AQS","080010008","1","11","ug/m3 SC","10","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/10/2017","AQS","080010008","1","25","ug/m3 SC","23","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/11/2017","AQS","080010008","1","35","ug/m3 SC","32","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/12/2017","AQS","080010008","1","37","ug/m3 SC","34","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/13/2017","AQS","080010008","1","46","ug/m3 SC","43","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/14/2017","AQS","080010008","1","49","ug/m3 SC","45","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
